"URL","Page Name","Page Purpose","Parent","Navigation Source","Primary CTA","Secondary CTA","Hero Summary","Main Sections","Trust Elements","Interactive Elements","Internal Links","External Links","Screenshots","Issues","Notes"
"https://www.builtbykiefer.com/project-timelines","Project Timelines","Compare typical durations and phase sequences for five construction project types.","/","Direct URL only","Get Free Consultation -> /contact","Call (970) 515-5059 -> tel:9705155059","Project Timelines Understand the timeline and phases for your construction project. Every project is unique, but these are typical durations for common project types.","Custom Home","Kiefer branding, real construction photography where present, repeated EPS partnership footer, and direct phone/email paths where present.","1 table; five project-type tabs","/contact","","screenshots/project--timelines--full.png | screenshots/project--timelines--hero.png | screenshots/project--timelines--table.png | screenshots/project--timelines--interactive.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only; Isolated template without global header/footer; generic claims and timeline figures need owner verification","Runtime HTTP 200; 0 images; 5 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/projects","Project Gallery","Route visitors to new-build, commercial, renovation, and custom-elevator project categories.","/","Desktop/mobile Our Work navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","","Project Gallery Explore Kiefer Built work across new builds, commercial spaces, renovations, custom elevators, additions, kitchens, baths, and exterior improvements. START A PROJECT","Ready to talk through a project?","Real Kiefer Built category photography and EPS partnership footer.","Links/buttons only","/projects#main-content | / | /careers | /#contact | /projects/new-builds | /projects/commercial | /projects/renovations-additions | /services/custom-elevators","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/projects--full.png | screenshots/projects--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 7 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/projects/commercial","Commercial Work","Explain commercial remodel, tenant-improvement, and business-buildout coordination.","/projects","Desktop/mobile Our Work navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","","Commercial Work Commercial spaces built around function, durability, schedule, and the way a business needs to operate. START A PROJECT","Business spaces need clear coordination. | Ready to talk through a project?","Real project imagery; project specifications/build phases on detailed showcases; EPS partnership in footer or showcase.","Links/buttons only","/projects/commercial#main-content | / | /careers | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/projects--commercial--full.png | screenshots/projects--commercial--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 4 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/projects/contemporary-ranch","Contemporary Ranch","Showcase a completed Northern Colorado ranch project through specifications and a 29-photo gallery.","/projects","Direct URL only","← Back to Portfolio -> /","Start Your Project -> /#contact","Contemporary Ranch A Northern Colorado spec home built with premium craftsmanship — stacked stone, warm wood, and open-concept living from the ground up.","Build Phases | Project Specifications | Inside & Out | Ready to Build?","Real project imagery; project specifications/build phases on detailed showcases; EPS partnership in footer or showcase.","gallery category filters/lightbox-style image grid","/ | /#contact","https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/projects--contemporary--ranch--full.png | screenshots/projects--contemporary--ranch--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only; Orphaned showcase; Projects hub does not link to it; Bespoke shell diverges from global header/footer/template","Runtime HTTP 200; 30 images; 5 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/projects/mountain-modern","Mountain Modern","Showcase a mountain home through a build video, phases, specifications, gallery, and partnership proof.","/projects","Direct URL only","← Back to Portfolio -> /","Start Your Project -> /#contact","Mountain Modern A custom mountain home built from the ground up — dark steel, natural stone, and Colorado pine.","From the Ground Up | Build Phases | Project Specifications | The Finished Home | Ready to Build Your Dream?","Real project imagery; project specifications/build phases on detailed showcases; EPS partnership in footer or showcase.","1 HTML5 video","/ | /#contact","https://kbuiltco.com | https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://nexgenstudio.io","screenshots/projects--mountain--modern--full.png | screenshots/projects--mountain--modern--hero.png | screenshots/projects--mountain--modern--video-playing.png","Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only; Orphaned showcase; Projects hub does not link to it; Bespoke shell diverges from global header/footer/template","Runtime HTTP 200; 13 images; 0 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/projects/new-builds","New Builds","Summarize space-efficient homes, modern homes, barns, garages, and new construction.","/projects","Desktop/mobile Our Work navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","","New Builds New homes, modern builds, space efficient homes, barns, garages, and owner-led construction from first scope to final walkthrough. START A PROJECT","Ready to talk through a project?","Real project imagery; project specifications/build phases on detailed showcases; EPS partnership in footer or showcase.","Links/buttons only","/projects/new-builds#main-content | / | /careers | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/projects--new--builds--full.png | screenshots/projects--new--builds--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 6 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/projects/renovations-additions","Renovations and Additions","Showcase kitchens, baths, living spaces, exteriors, and elevators through interactive carousels.","/projects","Desktop/mobile Our Work navigation","START A RENOVATION -> https://www.builtbykiefer.com/#contact","EXPLORE CATEGORIES -> https://www.builtbykiefer.com/projects/renovations-additions#kitchens","Renovations and Additions Explore kitchens, bathrooms, living spaces, exteriors, and specialty upgrades through real Kiefer Built project photography. Each category below opens into a focused showcase with details from work built over the years. START A RENOVATION EXPLORE CATEGORIES","Kitchens | Bathrooms | Living Spaces | Exteriors | Custom Elevators | Ready to shape the next version of your home?","Real project imagery; project specifications/build phases on detailed showcases; EPS partnership in footer or showcase.","five image carousels with previous/next controls","/projects/renovations-additions#main-content | / | /careers | /#contact | /projects/renovations-additions#kitchens | /projects/renovations-additions#bathrooms | /projects/renovations-additions#living-spaces | /projects/renovations-additions#exteriors | /projects/renovations-additions#custom-elevators | /services/custom-elevators","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/projects--renovations--additions--full.png | screenshots/projects--renovations--additions--hero.png | screenshots/projects--renovations--additions--carousel-next.png","Canonical points to homepage instead of this route; Absent from runtime sitemap.xml","Runtime HTTP 200; 28 images; 16 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/service-areas","We Build Across Northern Colorado","Describe six Northern Colorado communities, county coverage, distance guidance, and services by area.","/","Direct URL only","Call (970) 515-5059 -> tel:(970)515-5059","Get a Quote Online -> /#contact","SERVICE COVERAGE AREA We Build Across Northern Colorado From our base in Windsor, we serve six core communities throughout Weld and Larimer Counties. Wherever your project is located, we bring the same quality craftsmanship and attention to detail.","Windsor | Fort Collins | Loveland | Greeley | Johnstown | Wellington | Weld & Larimer Counties | Distance Guide from Windsor | Construction Services Across All Areas | Contact Kiefer Built Contracting","Named communities, county coverage, distances, services, phone, and EPS partnership.","Links/buttons only","/service-areas#main-content | / | /careers | /#contact","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/service--areas--full.png | screenshots/service--areas--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only","Runtime HTTP 200; 2 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/services","Your One Stop Shop","Service hub for new builds, renovations, commercial construction, elevators, and education.","/","Desktop/mobile Service navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","","Your One Stop Shop Kiefer Built supports new homes, renovations, additions, custom elevators, and commercial construction with one accountable team. START A PROJECT","Ready to talk through a project?","Kiefer branding, real construction photography where present, repeated EPS partnership footer, and direct phone/email paths where present.","Links/buttons only","/services#main-content | / | /careers | /#contact | /services/home-building | /projects/renovations-additions | /projects/commercial | /services/custom-elevators | /why-kiefer-built","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/services--full.png | screenshots/services--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Final card sits alone on a sparse second row at desktop width","Runtime HTTP 200; 8 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/services/custom-elevators","Custom Residential Elevators","Explain residential elevator planning, structure, access, finish coordination, and project photography.","/services","Desktop/mobile Service navigation","DISCUSS AN ELEVATOR -> https://www.builtbykiefer.com/#contact","VIEW SERVICES -> https://www.builtbykiefer.com/services","Custom Residential Elevators Elevator builds and installations planned with the home around them: structure, finish transitions, flooring, cabinetry, access, and designer-selected details handled by one accountable builder. DISCUSS AN ELEVATOR VIEW SERVICES RESIDENTIAL ELEVATOR BUILDS DESIGNER-SELECTED FINISHES STRUCTURE AND FIELD COORDINATION","Built into the home, not added as an afterthought. | One builder coordinating structure, elevator access, and finished rooms. | Project photography with the elevator as the focus. | Planning an elevator into a home or remodel?","Detailed project photography and one-builder coordination claims.","Links/buttons only","/services/custom-elevators#main-content | / | /careers | /#contact | /services","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/services--custom--elevators--full.png | screenshots/services--custom--elevators--hero.png","Canonical points to homepage instead of this route; Absent from runtime sitemap.xml","Runtime HTTP 200; 10 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/services/home-building","Custom Homes Built With Cutting-Edge Design and Technology","Explain custom-home scope, client-led design, and EPS/SIP performance positioning.","/services","Desktop/mobile Service navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","VIEW NEW BUILDS -> https://www.builtbykiefer.com/projects/new-builds","Custom Homes Built With Cutting-Edge Design and Technology Single-family homes, cabins, multifamily projects, and modern retreats built around client goals, efficient systems, and long-term comfort. START A PROJECT VIEW NEW BUILDS","A home should reflect the way you actually live. | EPS and SIP systems support performance. | Ready to talk through a project?","EPS/SIP partnership and performance-system positioning.","Links/buttons only","/services/home-building#main-content | / | /careers | /#contact | /projects/new-builds","https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/services--home--building--full.png | screenshots/services--home--building--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml","Runtime HTTP 200; 5 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/testimonials","Establishing and Maintaining Good Relationships","Summarize customer feedback themes and route visitors to leave a Houzz review.","/","Desktop/mobile Our Work navigation","START A PROJECT -> https://www.builtbykiefer.com/#contact","LEAVE A REVIEW -> https://www.houzz.com/professionals/general-contractors/kiefer-built-contracting-pfvwus-pf~1042242452","Establishing and Maintaining Good Relationships Clients consistently point to communication, craftsmanship, responsiveness, and trust as reasons they recommend Kiefer Built. START A PROJECT LEAVE A REVIEW","Client trust is earned in the details. | Ready to talk through a project?","Five named customer-summary cards and external Houzz review CTA.","Links/buttons only","/testimonials#main-content | / | /careers | /#contact","https://www.houzz.com/professionals/general-contractors/kiefer-built-contracting-pfvwus-pf~1042242452 | https://epsbuildings.com | https://www.facebook.com/KieferBuiltContracting | https://www.instagram.com/kieferbuiltco | https://kbuiltco.com | https://nexgenstudio.io","screenshots/testimonials--full.png | screenshots/testimonials--hero.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Cards paraphrase reviews rather than presenting visibly attributed quotations/source links","Runtime HTTP 200; 3 images; 6 buttons; forms were inspected but not submitted."
"https://www.builtbykiefer.com/vendor/login","Vendor Access","Offer trade-partner email/password and email-link sign-in forms.","Vendor portal","Direct URL only","SIGN IN -> local action","EMAIL ME A VENDOR SIGN-IN LINK -> local action","TRADE PARTNER PORTAL Vendor Access Sign in with the email Kiefer Built has approved for your subcontractor or vendor account. Email Password SIGN IN Email link EMAIL ME A VENDOR SIGN-IN LINK","","Kiefer-branded trade-partner access shell; vendor workboard itself fails at runtime.","2 forms","/","","screenshots/vendor--login--full.png | screenshots/vendor--login--hero.png | screenshots/vendor--login--form.png","Canonical points to homepage instead of this route; Generic homepage title/description reused; Absent from runtime sitemap.xml; Not linked from global navigation; direct-URL-only; Indexable login page inherits marketing canonical, metadata, and HomeBuilder/FAQ structured data","Runtime HTTP 200; 1 images; 3 buttons; forms were inspected but not submitted."
